QY_NAME,QY_FR_NAME,QY_REGION_NAME
重庆华厦钢结构有限公司,张金皓,重庆市
格致电力（重庆）有限公司,李高,重庆市
海南珠江建筑设计院有限公司,梁孟曦,海南省-海口市
四川省兴发规划建筑设计有限公司,李诚,四川省-成都市
四川省恒升煤炭科技开发有限公司,张克文,四川省-成都市
四川石达能源发展有限公司,姚毅,四川省-成都市
四川尧天通信科技有限责任公司,黄艳,四川省-成都市
四川东莹照明工程有限公司,孙裕钦,四川省-成都市
四川东送电力工程设计有限公司,李志海,四川省-成都市
于氏一诺电力技术有限公司,于美华,河南省-郑州市
衢州市交通设计有限公司,李华锋,浙江省-衢州市
浙江省先达装饰设计工程有限公司,张君,浙江省-嘉兴市
慈溪市水利建筑勘测设计院有限公司,张君萍,浙江省-宁波市
台州市交通勘察设计院有限公司,龚中平,浙江省-台州市
浙江省台州建筑设计院有限公司,朱雷,浙江省-台州市
